scientific_name,latitude,longitude,locality_name,locality_type,presence_status,water_body,water_body_type,coordinate_precision,year_collected,collector,source_citation,is_sensitive,notes
Bedotia madagascariensis,-18.339260,49.208690,189+540,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191506,false,
Bedotia madagascariensis,-18.266667,49.266667,"IVONDRO RIVER, FANANDRANA VILLAGE ON N-5 BETWEEN TOAMASINA AND BRICKAVILLE",collection_record,present,,river,exact,1997,"P.V. LOISELLE, LOCAL RESIDENTS",GBIF: FishBase AMNH 229594,false,
Bedotia madagascariensis,-18.050000,49.383333,"ANDROANTSIRIRY RIVER, SMALL STREAM TO THE IVOLOINA RIVER ca. 2 KILOMETERS NORTH OF BRIDGE ON TOAMASINA-FENOARIVO ROAD",collection_record,present,,stream,exact,1996,P.V. LOISELLE; LOCAL FISHERMEN,GBIF: FishBase AMNH 231435,false,
Bedotia madagascariensis,-18.033333,49.333333,SAHAMELOKA CREEK AT VILLAGE OF THE SAME NAME ON THE SOUTH BANK OF THE IVOLOINA RIVER,collection_record,present,,stream,exact,1999,P.V. LOISELLE,GBIF: FishBase AMNH 231372,false,
Bedotia madagascariensis,-18.016667,49.300000,AMBODIMOZINGA (ANTSIRIMANDROSO) CREEK AT THE VILLAGE OF SAME NAME ON THE SOUTH BANK OF THE IVOLOINA RIVER,collection_record,present,,stream,exact,1999,P.V. LOISELLE,GBIF: FishBase AMNH 231373,false,
Bedotia madagascariensis,-17.166667,46.833333,"RAPIDS OF THE IKOPA RIVER, NORTHWEST OF ANTANIMBARY",collection_record,present,,river,exact,1997,"P.V. LOISELLE, LOCAL RESIDENTS",GBIF: FishBase AMNH 229578,false,
Bedotia marojejy,-14.633333,49.716667,"SAMBAVA-ANDAPA REGION, ANTSAHABE CREEK, TRIBUTARY OF THE MANANTENINA RIVER AT SARAHANDRANO VILLAGE",collection_record,present,,stream,exact,1999,P.V. LOISELLE,GBIF: FishBase AMNH 231368,false,
Bedotia marojejy,-14.500000,49.816667,"SAMBAVA-ANDAPA REGION, MANANTENINA RIVER, ca. 28 KILOMETERS NORTHEAST OF ANDAPA ON RN-3B",collection_record,present,,river,exact,1999,P.V. LOISELLE,GBIF: FishBase AMNH 231362,false,
Bedotia marojejy,-14.497200,49.821400,"Manantenina River at village, Lokoho basin",collection_record,present,Manantenina River,river,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,41m asl
Bedotia marojejy,-14.466670,49.816670,"Banks of the Manantenina R. (Lokoho R. basin) at the se. boundary of the PN de Marojejy, ca. 14°28'S, 49°49'E, some 28 km ne. of Andapa, ne. Madagascar.",collection_record,present,,,exact,,,GBIF: FishBase FB 2744809,false,
Bedotia masoala,-15.309722,50.235556,"Ankavanana River (near Project Masoala site 1005), Masoala Peninsula",collection_record,present,,river,exact,1994,"JS Sparks, KJ Riseng & guides",GBIF: UMMZ 236578,false,
Bedotia masoala,-15.303889,50.222222,Masoala Peninsula,collection_record,present,,,exact,1994,"guides;Riseng, K. J.;Sparks, J. S.",GBIF: ROM ROMI109600,false,
Bedotia masoala,-15.303889,50.263056,"Ankavanana River, Masoala Peninsula",collection_record,present,,river,exact,1994,"JS Sparks, KJ Riseng",GBIF: UMMZ 236582,false,
Bedotia masoala,-15.303056,50.269444,"small stream near Ankavanana River (near sta. 42), varaeal pools cut off from main river, Masoala Peninsula",collection_record,present,,stream,exact,1994,"JS Sparks, K Riseng",GBIF: UMMZ 236583,false,
Bedotia masoala,-15.301111,50.278333,"Varzeal pools (small), cut off from Ankavanana River, (approx. 1 hr E of 94-43 camp), Masoala Peninsula",collection_record,present,,river,exact,1994,"JS Sparks, K Riseng",GBIF: UMMZ 236585,false,
Bedotia masoala,-15.300000,50.216667,ANKAVANANA RIVER,collection_record,present,,river,exact,1994,"J.S. SPARKS, P.N. REINTHAL",GBIF: FishBase AMNH 229528,false,
Bedotia masoala,-14.933333,50.250000,"SMALL UNNAMED CREEK, TRIBUTARY TO ANKAVIA RIVER AT ANDRAKARAKA VILLAGE",collection_record,present,,stream,exact,2000,"P.V. LOISELLE, LOCAL VILLAGERS",GBIF: FishBase AMNH 231241,false,
Bedotia masoala,-14.872094,50.257844,"large unnamed, cascading river ca. .5 km E of camp on Ankavanana River, Masoala Peninsula",collection_record,present,,river,exact,,"JS Sparks, K Riseng",GBIF: UMMZ 236584,false,
Bedotia masoala,-14.816667,50.116667,"UNNAMED BROOK, TRIBUTARY TO ANKAVANA RIVER AT AMPOHAFAMBIAVY VILLAGE",collection_record,present,,stream,exact,2000,"P.V. LOISELLE, LOCAL VILLAGERS",GBIF: FishBase AMNH 231242,false,
Bedotia sp. 'ankavia-ankavanana',-14.935600,50.255300,Ankavia River tribs at Andrakaraka Village,collection_record,present,Ankavia River,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,20m asl
Bedotia sp. 'ankavia-ankavanana',-14.826700,50.110800,Ankavanana River tribs at Ampahafambiany Village,collection_record,present,Ankavanana River,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,20m asl
Bedotia sp. 'bemarivo',-14.226400,50.010000,"Nosivolo Creek at village, trib. to Bemarivo River",collection_record,present,Nosivolo Creek,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,43m asl
Bedotia sp. 'betampona',-17.956700,49.213900,"Marendranomasaya Creek, W of Ambodimanga Makoetsa (Betampona #2)",collection_record,present,Marendranomasaya Creek,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,"59m asl, Ivoloina basin"
Bedotia sp. 'betampona',-17.942500,49.268900,"Santroko Stream, W of Ambodoriana Village (Betampona #1)",collection_record,present,Santroko Stream,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,"80m asl, Ivoloina basin"
Bedotia sp. 'garassa',-23.377100,47.413900,Andrafia Stream near Ankarefo village,collection_record,present,Andrafia Stream,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,60m asl
Bedotia sp. 'lazana',-18.985000,48.612500,"Lazana River at Beforona, below bridge on RN-2",collection_record,present,Lazana River,river,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,"Sub-montane forest, Podostemaceae in rapids"
Bedotia sp. 'mahanara',-14.093300,50.086100,"Belandro Creek, 1.5km SE of Ambalava, Anjambaba trib.",collection_record,present,Belandro Creek,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,11m asl
Bedotia sp. 'manombo',-23.028000,47.732000,"Manombo Camp, Manombo Special Reserve",collection_record,present,,stream,exact,2004,D.R. Vieites,Vences et al. 2022,true,44m. 7 specimens barcoded.
Bedotia sp. 'namorona',-21.354000,47.608000,"Road Ifanadiana-Tolongoina, km 5-7",collection_record,present,,stream,exact,2004,Vences team,Vences et al. 2022,false,468m. = Vences sp. Ranomafana
Bedotia sp. 'namorona',-21.266400,47.457500,"Ambatoharana Stream, outskirts of Ranomafana",collection_record,present,Ambatoharana Stream,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,475m asl
Bedotia sp. 'nosivola',-22.809200,47.165000,Marosivy River at Vevembe (ARS-2/99/M),collection_record,present,Marosivy River,stream,exact,1999,A.R. Saunders,Saunders field report 1999,false,600m. Listed as B. sp. Vondrozo in field notes.
Bedotia sp. 'nosivola',-20.065300,48.127500,"Rapids of Nosivolo River, 0.75km NW of Marolambo",collection_record,present,Nosivolo River,river,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,366m asl
Bedotia sp. 'sambava',-14.306900,50.058300,"Unnamed brook, Ankatoka Stream trib., 4.5km S of Antsahoarana",collection_record,present,Ankatoka Stream,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,18m asl
Bedotia tricolor,-22.133000,48.033000,"Trib. of Faraony River, Manakara Province (approx)",literature_record,present,Faraony River,river,approximate,,,Pellegrin 1932,false,Zero georeferenced records. Manakara centroid.
Betancurichthys festinus,-15.833611,48.714447,Amboaboa River,collection_record,present,,river,exact,,,GBIF: UMMZ UMMZ 239806,true,
Betancurichthys uncinatus,-14.883333,47.983333,"Lac Andrapongy, environs d'Antsohihy",type_locality,present,,lake,exact,,J.-C. Nourissat;Patrick De Rham,GBIF: MHNG MHNG-ICHT-2622.081,true,
Betancurichthys uncinatus,-14.696944,48.131667,"Lake Andrapongy, North Basin",collection_record,present,,lake,exact,,"JS Sparks, K Riseng",GBIF: UMMZ 238058,true,
Eleotris mauritiana,-23.417000,43.833000,maroamalona,collection_record,present,,,exact,1926,"petit;paris mnhn-pom, m.",GBIF: MNHN 2000-5012,false,
Eleotris mauritiana,-21.083333,48.450000,"MANANJARY, ESTUARY OF RIVER MANANJARY, SIDE LAGOON BEHIND HOTEL JARDIN DE LA MER, ca. 100 METERS FROM SEA",collection_record,present,,lake,exact,1988,"M.L.J. STIASSNY, P.N. REINTHAL",GBIF: FishBase AMNH 88031,false,
Eleotris mauritiana,-18.933000,49.117000,andevoranto,collection_record,present,,,exact,1960,kiener;therezien,GBIF: MNHN 1966-0961,false,
Eleotris mauritiana,-18.166667,49.416667,"TOAMASINA (TAMATAVE) MAIN MARKETPLACE IN TOWN CENTER, CAUGHT NEARBY",collection_record,present,,,exact,1988,"LOCAL FISHERMEN/M. STIASSNY, P. REINTHAL",GBIF: FishBase AMNH 88110,false,
Giuris margaritacea,-22.833000,47.833000,farafangana,collection_record,present,,,exact,1882,lautz,GBIF: MNHN A-4150,false,
Giuris margaritacea,-16.920000,49.860000,"GBIF record at -16.920, 49.860",collection_record,present,,,exact,,,GBIF:  RDR0013,false,
Giuris margaritacea,-13.690000,48.173100,"Small stream entering Baie D'ampasindava, Madagascar (near Marokibani).",collection_record,present,,stream,exact,1964,,GBIF: USNM USNM 337793,false,
Glossogobius,-25.062033,46.927750,North Ambinanibe Lagoon,collection_record,present,,lake,exact,2010,P.C. Heemstra,GBIF: South African Institute for Aquatic Biodiversity SAIAB 97550,false,[Genus-level ID only; species unresolved]
Glossogobius,-23.030000,47.730000,Manombo Camp,collection_record,present,,,exact,,,GBIF:  ZCMV407,false,[Genus-level ID only; species unresolved]
Glossogobius,-23.028320,47.731530,"GBIF record at -23.028, 47.732",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI ZCMV407",false,[Genus-level ID only; species unresolved]
Glossogobius,-18.480080,49.102440,"164+100(RM104),Routine Monitoring PPL",collection_record,present,,,exact,2011,J. Rall,GBIF: SAIAB 191440,false,[Genus-level ID only; species unresolved]
Glossogobius,-18.449210,49.103000,EF107,collection_record,present,,,exact,2011,J. Rall,GBIF: SAIAB 191433,false,[Genus-level ID only; species unresolved]
Glossogobius,-18.166666,49.383335,"GBIF record at -18.167, 49.383",collection_record,present,,,exact,1988,M L J Stiassny & P N Reinthal,GBIF: AM I.28054-001,false,[Genus-level ID only; species unresolved]
Glossogobius,-16.704600,47.075850,"GBIF record at -16.705, 47.076",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0351",false,[Genus-level ID only; species unresolved]
Glossogobius,-16.700000,47.080000,Manambatramby,collection_record,present,,,exact,,,GBIF:  RDR0351,false,[Genus-level ID only; species unresolved]
Glossogobius,-16.682230,47.075470,"GBIF record at -16.682, 47.075",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0359",false,[Genus-level ID only; species unresolved]
Glossogobius,-16.680000,47.080000,Soanielana,collection_record,present,,,exact,,,GBIF:  RDR0359,false,[Genus-level ID only; species unresolved]
Glossogobius,-16.680000,47.070000,Point 32 km to Ambondromamy from,collection_record,present,,,exact,,,GBIF:  RDR0372,false,[Genus-level ID only; species unresolved]
Glossogobius,-16.675830,47.074330,"GBIF record at -16.676, 47.074",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0372",false,[Genus-level ID only; species unresolved]
Glossogobius,-16.600000,47.060000,Vavaranon'i Maromalandy,collection_record,present,,,exact,,,GBIF:  RDR0388,false,[Genus-level ID only; species unresolved]
Glossogobius,-16.597120,47.060130,"GBIF record at -16.597, 47.060",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0387",false,[Genus-level ID only; species unresolved]
Glossogobius,-16.550000,47.110000,Ranon'i Pont fotsy,collection_record,present,,,exact,,,GBIF:  RDR0399,false,[Genus-level ID only; species unresolved]
Glossogobius,-16.548050,47.106920,"GBIF record at -16.548, 47.107",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0398",false,[Genus-level ID only; species unresolved]
Glossogobius,-16.503830,47.148180,"GBIF record at -16.504, 47.148",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0406",false,[Genus-level ID only; species unresolved]
Glossogobius,-16.500000,47.150000,"GBIF record at -16.500, 47.150",collection_record,present,,,exact,,,GBIF:  RDR0408,false,[Genus-level ID only; species unresolved]
Glossogobius,-16.150000,47.400000,Ambavan'i Marozora,collection_record,present,,,exact,,,GBIF:  RDR0436,false,[Genus-level ID only; species unresolved]
Glossogobius,-16.148180,47.403420,"GBIF record at -16.148, 47.403",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0436",false,[Genus-level ID only; species unresolved]
Glossogobius,-16.100000,47.610000,Andranomena,collection_record,present,,,exact,,,GBIF:  RDR0450,false,[Genus-level ID only; species unresolved]
Glossogobius,-16.095800,47.614400,"GBIF record at -16.096, 47.614",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0450",false,[Genus-level ID only; species unresolved]
Glossogobius,-16.050000,47.640000,Andranovaky,collection_record,present,,,exact,,,GBIF:  RDR0470,false,[Genus-level ID only; species unresolved]
Glossogobius,-16.048330,47.637580,"GBIF record at -16.048, 47.638",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0470",false,[Genus-level ID only; species unresolved]
Glossogobius,-15.970000,47.640000,Bemarivo,collection_record,present,,,exact,,,GBIF:  RDR0483,false,[Genus-level ID only; species unresolved]
Glossogobius,-15.965520,47.637120,"GBIF record at -15.966, 47.637",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0484",false,[Genus-level ID only; species unresolved]
Glossogobius,-15.341920,47.791530,"GBIF record at -15.342, 47.792",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0537",false,[Genus-level ID only; species unresolved]
Glossogobius,-15.340000,47.790000,Andranobe,collection_record,present,,,exact,,,GBIF:  RDR0537,false,[Genus-level ID only; species unresolved]
Glossogobius,-14.710170,48.066650,"GBIF record at -14.710, 48.067",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0598",false,[Genus-level ID only; species unresolved]
Glossogobius,-14.710000,48.070000,Anjingo,collection_record,present,,,exact,,,GBIF:  RDR0598,false,[Genus-level ID only; species unresolved]
Glossogobius,-14.540000,48.030000,Maevarano,collection_record,present,,,exact,,,GBIF:  RDR0617,false,[Genus-level ID only; species unresolved]
Glossogobius,-14.538230,48.029000,"GBIF record at -14.538, 48.029",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0617",false,[Genus-level ID only; species unresolved]
Glossogobius,-14.330000,48.030000,Ampitotorana,collection_record,present,,,exact,,,GBIF:  RDR0652,false,[Genus-level ID only; species unresolved]
Glossogobius,-14.329970,48.029450,"GBIF record at -14.330, 48.029",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0650",false,[Genus-level ID only; species unresolved]
Glossogobius,-14.210000,48.080000,Maetsamalaza,collection_record,present,,,exact,,,GBIF:  RDR0663,false,[Genus-level ID only; species unresolved]
Glossogobius,-14.207600,48.082770,"GBIF record at -14.208, 48.083",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0663",false,[Genus-level ID only; species unresolved]
Glossogobius,-14.020500,48.160180,"GBIF record at -14.021, 48.160",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0677",false,[Genus-level ID only; species unresolved]
Glossogobius,-14.020000,48.160000,Ankaramihely,collection_record,present,,,exact,,,GBIF:  RDR0677,false,[Genus-level ID only; species unresolved]
Glossogobius,-13.843170,48.278550,"GBIF record at -13.843, 48.279",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0698",false,[Genus-level ID only; species unresolved]
Glossogobius,-13.840000,48.280000,Antranofotaka,collection_record,present,,,exact,,,GBIF:  RDR0698,false,[Genus-level ID only; species unresolved]
Glossogobius,-13.830720,48.282700,"GBIF record at -13.831, 48.283",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0715",false,[Genus-level ID only; species unresolved]
Glossogobius,-13.830000,48.280000,Ankingameloka,collection_record,present,,,exact,,,GBIF:  RDR0716,false,[Genus-level ID only; species unresolved]
Glossogobius,-13.689400,48.174200,"Small stream entering Baie D'Ampasidava, Madagascar. (near Marokibahi).",collection_record,present,,stream,exact,1964,,GBIF: USNM USNM 371178,false,[Genus-level ID only; species unresolved]
Glossogobius,-13.683333,48.166668,"GBIF record at -13.683, 48.167",collection_record,present,,,exact,1964,Bolin and party,GBIF: AM I.24396-001,false,[Genus-level ID only; species unresolved]
Glossogobius,-13.373600,48.304200,"Nossi Be, Madagascar, Ambatozavary, fresh brackish water drainage stream",collection_record,present,,stream,exact,1964,,GBIF: USNM USNM 305773,false,[Genus-level ID only; species unresolved]
Glossogobius ankaranensis,-19.041636,46.684937,"GBIF record at -19.042, 46.685",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI AMNH:Fish:245682",false,
Glossogobius ankaranensis,-13.593970,48.520100,"GBIF record at -13.594, 48.520",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0726",false,
Glossogobius ankaranensis,-13.590000,48.520000,Andranosavony,collection_record,present,,,exact,,,GBIF:  RDR0726,false,
Glossogobius ankaranensis,-13.482230,48.728750,"GBIF record at -13.482, 48.729",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0741",false,
Glossogobius ankaranensis,-13.480000,48.730000,Tapelatrano,collection_record,present,,,exact,,,GBIF:  RDR0741,false,
Glossogobius ankaranensis,-12.930000,49.140000,Second River Cave,collection_record,present,,cave_system,exact,1994,,GBIF: MMUM,false,
Glossogobius ankaranensis,-12.013890,49.166670,"Subterranean river, Ankarana reserve, ca. 12°50""S, 49°10'E, n. Madagascar.",collection_record,present,,river,exact,,,GBIF: FishBase FB 2744041,false,
Gogo arcuatus,-22.363056,47.368056,"Andriambondro Riviere (6 km N of Karianga at town of Mahavelo, off of Rienan River)",type_locality,present,,river,exact,1996,"JS Sparks, KJ Riseng",GBIF: UMMZ 238042,false,
Gogo atratus,-16.313200,49.664500,"Mananara du Nord River at Antonibaolina, 108m (type)",type_locality,present,Mananara du Nord River,river,exact,,"Ng, Sparks, Loiselle",Ng et al. 2008,false,Only 4 specimens
Gogo brevibarbis,-22.816667,47.816667,"GBIF record at -22.817, 47.817",collection_record,present,,,exact,1966,Centre Technique Forestier Tropical de Madagascar,GBIF: RBINS-Scientific Heritage 16993,false,
Gogo brevibarbis,-21.400000,47.983333,"GBIF record at -21.400, 47.983",collection_record,present,,,exact,1966,Centre Technique Forestier Tropical de Madagascar,GBIF: RBINS-Scientific Heritage 16992,false,
Gogo brevibarbis,-20.866700,47.600000,"Ambohimango, Fianarantsoa (holotype locality)",type_locality,present,,river,exact,,,Boulenger 1911,false,Only holotype since 1896
Gogo brevibarbis,-20.050000,48.133333,"TAMATAVE PROVINCE, RIVER NOSIVOLO BELOW AMBATOMASINA VILLAGE, ca. 16 KILOMETERS EAST-NORTHEAST OF MAROLAMBO, IN LARGE POOL",collection_record,present,,river,exact,1990,"M.L.J.STIASSNY,P.N.REITHAL,G.J.P.NAYLOR",GBIF: FishBase AMNH 97094,false,
Gogo brevibarbis,-19.983333,48.250000,"TAMATAVE PROVINCE, RIVER NOSIVOLO BELOW AMPASIMANIONA VILLAGE, 26 KILOMETERS EAST-NORTHEAST OF MAROLAMBO, LARGE SIDE POOL BELOW RAPIDS",collection_record,present,,river,exact,1990,"M.L.J.STIASSNY,P.N.REINTHAL,G.J.P.NAYLOR",GBIF: FishBase AMNH 97081,false,
Gogo brevibarbis,-17.733330,49.216660,"Mangabe, fresh water",collection_record,present,,,exact,1912,"Chauvin, H",GBIF: NRM 37034,false,
Gogo ornatus,-20.054722,48.127778,Near Marolambo,collection_record,present,,,exact,2005,Roger Bills,GBIF: SAIAB 187837,false,
Gogo ornatus,-20.045833,48.162222,Downstream of Marolambo,collection_record,present,,stream,exact,2005,Roger Bills,GBIF: SAIAB 187836,false,
Gogo ornatus,-20.045833,48.130000,Marolambo,collection_record,present,,,exact,2005,Roger Bills,GBIF: SAIAB 187838,false,
Gogo ornatus,-20.005982,48.769756,"River Mangoro, 200 m upstream of ferry crossing on raod to Marolambo",collection_record,present,,stream,exact,1990,M Stiassny,GBIF: UMMZ 244559,false,
Katria katria,-20.055833,48.151667,Above confluence with Sahanao,collection_record,present,,,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82774,false,
Katria katria,-20.050278,48.138056,"Large river, Island site below tributary",collection_record,present,,river,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82306,false,
Katria katria,-20.050000,48.133333,"TAMATAVE PROVINCE, RIVER NOSIVOLO, ROADSIDE OUTSIDE OF MAROLAMBO",collection_record,present,,river,exact,1990,"SMALL BOYS/M.L.J.STIASSNY,P.N.REINTHAL*",GBIF: FishBase AMNH 97095,false,
Katria katria,-20.047583,48.128751,Marolambo,collection_record,present,,,exact,,"Reinthal, Stiassny",GBIF: UMMZ 240358,false,
Katria katria,-19.999444,48.201944,Near Ambanza village,collection_record,present,,,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82779,false,
Katria katria,-19.983333,48.250000,"Nosivolo riv., below Zule's village, ca. 12km east-northeast of Marolambo, Tamatave Province",collection_record,present,,,exact,,"Reinthal, Stiassny, Naylor & Erdman",GBIF: FishBase P 97038.000197038.0003,false,
Katria katria,-19.041636,46.684937,"GBIF record at -19.042, 46.685",collection_record,present,,,exact,,,GBIF: Royal Ontario Museum,false,
Kuhlia,-25.038283,46.015933,Tidepool between Libanona Beach and petit Bonheur Beach,collection_record,present,,,exact,2010,P.C. Heemstra; Elaine Heemstra; T. Razafimanambina,GBIF: SAIAB 97539,false,[Genus-level ID only; species unresolved]
Kuhlia,-18.746360,48.989480,124+670,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191288,false,[Genus-level ID only; species unresolved]
Kuhlia,-18.408490,49.154930,176+700,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191438,false,[Genus-level ID only; species unresolved]
Kuhlia,-18.339260,49.208690,189+540,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191298,false,[Genus-level ID only; species unresolved]
Kuhlia sauvagii,-23.032425,47.735141,"Manombo Reserve, southeastern Madagascar",collection_record,present,,,exact,,PN Reinthal,GBIF: UMMZ 239921,false,
Kuhlia sauvagii,-23.030000,47.730000,Manombo Camp,collection_record,present,,,exact,,,GBIF:  ZCMV420,false,
Kuhlia sauvagii,-23.028320,47.731530,"GBIF record at -23.028, 47.732",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI ZCMV420",false,
Kuhlia sauvagii,-22.363056,47.368056,"Andriambondro Riviere (6 km N of Karianga at town of Mahavelo, off of Rienan River)",collection_record,present,,river,exact,1996,"JS Sparks, KJ Riseng",GBIF: UMMZ 235285,false,
Kuhlia sauvagii,-16.920000,49.860000,"GBIF record at -16.920, 49.860",collection_record,present,,,exact,,,GBIF:  RDR0001,false,
Kuhlia sauvagii,-16.918630,49.864920,"GBIF record at -16.919, 49.865",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0001",false,
Kuhlia sauvagii,-15.681667,49.956944,"Andranobe River, mouth of river near camp and upstream",collection_record,present,,stream,exact,1994,"P Reinthal, JS Sparks",GBIF: UMMZ 234812,false,
Kuhlia sauvagii,-15.593056,49.977778,Ambanizana River (tavy camp),collection_record,present,,river,exact,1994,"P Reinthal, JS Sparks",GBIF: UMMZ 248635,false,
Kuhlia sauvagii,-15.450000,47.667000,"GBIF record at -15.450, 47.667",collection_record,present,,,exact,2008,,GBIF (GBIF_AriidaePantanodontidaeMilyeringidaeClupeidaeKuhliidaeAtherinidaeEleotridaeGobiidaeData.csv),false,
Kuhlia sauvagii,-15.146000,49.958000,"GBIF record at -15.146, 49.958",collection_record,present,,,exact,2008,T Robinet,GBIF (GBIF_AriidaePantanodontidaeMilyeringidaeClupeidaeKuhliidaeAtherinidaeEleotridaeGobiidaeData.csv),false,
Kuhlia sauvagii,-14.513000,49.784000,"GBIF record at -14.513, 49.784",collection_record,present,,,exact,2008,"feutry;diamsoi, camp.",GBIF: MNHN 2012-0091,false,
Malagodon honahona,-23.020000,47.730000,"Pandanus swamp, Manombo SR (type)",type_locality,historically_present_extirpated,,wetland,exact,,,"Carr, Martin & Sparks 2024",false,Presumed EXTINCT
Malagodon madagascariensis,-17.490000,49.470000,Forest creeks at Mahambo (type),type_locality,historically_present_extirpated,,wetland,exact,1962,J. Arnoult,Arnoult 1963,false,EXTINCT
Oxylapia polli,-20.374444,47.820556,Monandriana River upstream of site RB07M-02,collection_record,present,,stream,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82310,false,
Oxylapia polli,-20.370556,47.819444,Mandriana/Nosivolo,collection_record,present,,,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82304,false,
Oxylapia polli,-20.315000,47.739722,Near ambodivoar village 2,collection_record,present,,,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82317,false,
Oxylapia polli,-20.138611,48.036111,Maintiambato stream,collection_record,present,,stream,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82772,false,
Oxylapia polli,-20.066389,48.116111,"Upstream from  Marolambo town, East-central highlands",collection_record,present,,stream,exact,2005,Roger Bills,GBIF: SAIAB 187829,false,
Oxylapia polli,-20.050323,48.128254,"Nosivolo River, near village of Marolambo, Mangoro drainage",collection_record,present,,river,exact,,unknown,GBIF: UMMZ 250283,false,
Oxylapia polli,-20.050000,48.133333,"TAMATAVE PROVINCE, RIVER NOSIVOLO BELOW ZULE'S VILLAGE, DEEP POOLS",collection_record,present,,river,exact,1990,"M.L.J.STIASSNY,P.N.REINTHAL,G.J.P.NAYLOR",GBIF: FishBase AMNH 97098,false,
Oxylapia polli,-19.999444,48.201944,Near Ambanza village,collection_record,present,,,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82781,false,
Oxylapia polli,-19.750000,48.466667,Mahadio,collection_record,present,,,exact,1962,,GBIF: RBINS-Scientific Heritage 22843,false,
Pachypanchax,-19.041636,46.684937,"GBIF record at -19.042, 46.685",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI FGZC 1246",false,[Genus-level ID only; species unresolved]
Pachypanchax,-16.267222,46.842500,Vavaranon-Marovoav Stream,collection_record,present,,stream,exact,1994,"JS Sparks, K Riseng",GBIF: UMMZ 240974,false,[Genus-level ID only; species unresolved]
Pachypanchax,-15.833611,48.714167,Ambomboa Riveire,collection_record,present,,,exact,1996,"JS Sparks, KJ Riseng",GBIF: UMMZ 238349,false,[Genus-level ID only; species unresolved]
Pachypanchax,-15.130270,47.804170,"GBIF record at -15.130, 47.804",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0549",false,[Genus-level ID only; species unresolved]
Pachypanchax,-15.113280,47.827930,"GBIF record at -15.113, 47.828",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0558",false,[Genus-level ID only; species unresolved]
