scientific_name,latitude,longitude,locality_name,locality_type,presence_status,water_body,water_body_type,coordinate_precision,year_collected,collector,source_citation,is_sensitive,notes,data_source
Giuris margaritacea,-13.690000,48.173100,"Small stream entering Baie D'ampasindava, Madagascar (near Marokibani).",collection_record,present,,stream,exact,1964,,GBIF: USNM USNM 337793,false,,
Glossogobius ankaranensis,-19.041636,46.684937,"GBIF record at -19.042, 46.685",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI AMNH:Fish:245682",false,,
Glossogobius ankaranensis,-13.593970,48.520100,"GBIF record at -13.594, 48.520",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0726",false,,
Glossogobius ankaranensis,-13.590000,48.520000,Andranosavony,collection_record,present,,,exact,,,GBIF:  RDR0726,false,,
Glossogobius ankaranensis,-13.482230,48.728750,"GBIF record at -13.482, 48.729",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0741",false,,
Glossogobius ankaranensis,-13.480000,48.730000,Tapelatrano,collection_record,present,,,exact,,,GBIF:  RDR0741,false,,
Glossogobius ankaranensis,-12.930000,49.140000,Second River Cave,collection_record,present,,cave_system,exact,1994,,GBIF: MMUM,false,,
Glossogobius ankaranensis,-12.013890,49.166670,"Subterranean river, Ankarana reserve, ca. 12°50""S, 49°10'E, n. Madagascar.",collection_record,present,,river,exact,,,GBIF: FishBase FB 2744041,false,,
Gogo arcuatus,-22.363056,47.368056,"Andriambondro Riviere (6 km N of Karianga at town of Mahavelo, off of Rienan River)",type_locality,present,,river,exact,1996,"JS Sparks, KJ Riseng",GBIF: UMMZ 238042,false,,
Gogo atratus,-16.313200,49.664500,"Mananara du Nord River at Antonibaolina, 108m (type)",type_locality,present,Mananara du Nord River,river,exact,,"Ng, Sparks, Loiselle",Ng et al. 2008,false,Only 4 specimens,
Gogo brevibarbis,-22.816667,47.816667,"GBIF record at -22.817, 47.817",collection_record,present,,,exact,1966,Centre Technique Forestier Tropical de Madagascar,GBIF: RBINS-Scientific Heritage 16993,false,,
Gogo brevibarbis,-21.400000,47.983333,"GBIF record at -21.400, 47.983",collection_record,present,,,exact,1966,Centre Technique Forestier Tropical de Madagascar,GBIF: RBINS-Scientific Heritage 16992,false,,
Gogo brevibarbis,-20.866700,47.600000,"Ambohimango, Fianarantsoa (holotype locality)",type_locality,present,,river,exact,,,Boulenger 1911,false,Only holotype since 1896,
Gogo brevibarbis,-20.050000,48.133333,"TAMATAVE PROVINCE, RIVER NOSIVOLO BELOW AMBATOMASINA VILLAGE, ca. 16 KILOMETERS EAST-NORTHEAST OF MAROLAMBO, IN LARGE POOL",collection_record,present,,river,exact,1990,"M.L.J.STIASSNY,P.N.REITHAL,G.J.P.NAYLOR",GBIF: FishBase AMNH 97094,false,,
Gogo brevibarbis,-19.983333,48.250000,"TAMATAVE PROVINCE, RIVER NOSIVOLO BELOW AMPASIMANIONA VILLAGE, 26 KILOMETERS EAST-NORTHEAST OF MAROLAMBO, LARGE SIDE POOL BELOW RAPIDS",collection_record,present,,river,exact,1990,"M.L.J.STIASSNY,P.N.REINTHAL,G.J.P.NAYLOR",GBIF: FishBase AMNH 97081,false,,
Gogo brevibarbis,-17.733330,49.216660,"Mangabe, fresh water",collection_record,present,,,exact,1912,"Chauvin, H",GBIF: NRM 37034,false,,
Gogo ornatus,-20.054722,48.127778,Near Marolambo,collection_record,present,,,exact,2005,Roger Bills,GBIF: SAIAB 187837,false,,
Gogo ornatus,-20.045833,48.162222,Downstream of Marolambo,collection_record,present,,stream,exact,2005,Roger Bills,GBIF: SAIAB 187836,false,,
Gogo ornatus,-20.045833,48.130000,Marolambo,collection_record,present,,,exact,2005,Roger Bills,GBIF: SAIAB 187838,false,,
Gogo ornatus,-20.005982,48.769756,"River Mangoro, 200 m upstream of ferry crossing on raod to Marolambo",collection_record,present,,stream,exact,1990,M Stiassny,GBIF: UMMZ 244559,false,,
Katria katria,-20.055833,48.151667,Above confluence with Sahanao,collection_record,present,,,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82774,false,,
Katria katria,-20.050278,48.138056,"Large river, Island site below tributary",collection_record,present,,river,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82306,false,,
Katria katria,-20.050000,48.133333,"TAMATAVE PROVINCE, RIVER NOSIVOLO, ROADSIDE OUTSIDE OF MAROLAMBO",collection_record,present,,river,exact,1990,"SMALL BOYS/M.L.J.STIASSNY,P.N.REINTHAL*",GBIF: FishBase AMNH 97095,false,,
Katria katria,-20.047583,48.128751,Marolambo,collection_record,present,,,exact,,"Reinthal, Stiassny",GBIF: UMMZ 240358,false,,
Katria katria,-19.999444,48.201944,Near Ambanza village,collection_record,present,,,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82779,false,,
Katria katria,-19.983333,48.250000,"Nosivolo riv., below Zule's village, ca. 12km east-northeast of Marolambo, Tamatave Province",collection_record,present,,,exact,,"Reinthal, Stiassny, Naylor & Erdman",GBIF: FishBase P 97038.000197038.0003,false,,
Katria katria,-19.041636,46.684937,"GBIF record at -19.042, 46.685",collection_record,present,,,exact,,,GBIF: Royal Ontario Museum,false,,
Kuhlia sauvagii,-23.032425,47.735141,"Manombo Reserve, southeastern Madagascar",collection_record,present,,,exact,,PN Reinthal,GBIF: UMMZ 239921,false,,
Kuhlia sauvagii,-23.030000,47.730000,Manombo Camp,collection_record,present,,,exact,,,GBIF:  ZCMV420,false,,
Kuhlia sauvagii,-23.028320,47.731530,"GBIF record at -23.028, 47.732",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI ZCMV420",false,,
Kuhlia sauvagii,-22.363056,47.368056,"Andriambondro Riviere (6 km N of Karianga at town of Mahavelo, off of Rienan River)",collection_record,present,,river,exact,1996,"JS Sparks, KJ Riseng",GBIF: UMMZ 235285,false,,
Kuhlia sauvagii,-16.920000,49.860000,"GBIF record at -16.920, 49.860",collection_record,present,,,exact,,,GBIF:  RDR0001,false,,
Kuhlia sauvagii,-16.918630,49.864920,"GBIF record at -16.919, 49.865",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0001",false,,
Kuhlia sauvagii,-15.681667,49.956944,"Andranobe River, mouth of river near camp and upstream",collection_record,present,,stream,exact,1994,"P Reinthal, JS Sparks",GBIF: UMMZ 234812,false,,
Kuhlia sauvagii,-15.593056,49.977778,Ambanizana River (tavy camp),collection_record,present,,river,exact,1994,"P Reinthal, JS Sparks",GBIF: UMMZ 248635,false,,
Kuhlia sauvagii,-15.450000,47.667000,"GBIF record at -15.450, 47.667",collection_record,present,,,exact,2008,,GBIF (GBIF_AriidaePantanodontidaeMilyeringidaeClupeidaeKuhliidaeAtherinidaeEleotridaeGobiidaeData.csv),false,,
Kuhlia sauvagii,-15.146000,49.958000,"GBIF record at -15.146, 49.958",collection_record,present,,,exact,2008,T Robinet,GBIF (GBIF_AriidaePantanodontidaeMilyeringidaeClupeidaeKuhliidaeAtherinidaeEleotridaeGobiidaeData.csv),false,,
Kuhlia sauvagii,-14.513000,49.784000,"GBIF record at -14.513, 49.784",collection_record,present,,,exact,2008,"feutry;diamsoi, camp.",GBIF: MNHN 2012-0091,false,,
Malagodon honahona,-23.020000,47.730000,"Pandanus swamp, Manombo SR (type)",type_locality,historically_present_extirpated,,wetland,exact,,,"Carr, Martin & Sparks 2024",false,Presumed EXTINCT,
Malagodon madagascariensis,-17.490000,49.470000,Forest creeks at Mahambo (type),type_locality,historically_present_extirpated,,wetland,exact,1962,J. Arnoult,Arnoult 1963,false,EXTINCT,
Oxylapia polli,-20.374444,47.820556,Monandriana River upstream of site RB07M-02,collection_record,present,,stream,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82310,false,,
Oxylapia polli,-20.370556,47.819444,Mandriana/Nosivolo,collection_record,present,,,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82304,false,,
Oxylapia polli,-20.315000,47.739722,Near ambodivoar village 2,collection_record,present,,,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82317,false,,
Oxylapia polli,-20.138611,48.036111,Maintiambato stream,collection_record,present,,stream,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82772,false,,
Oxylapia polli,-20.066389,48.116111,"Upstream from  Marolambo town, East-central highlands",collection_record,present,,stream,exact,2005,Roger Bills,GBIF: SAIAB 187829,false,,
Oxylapia polli,-20.050323,48.128254,"Nosivolo River, near village of Marolambo, Mangoro drainage",collection_record,present,,river,exact,,unknown,GBIF: UMMZ 250283,false,,
Oxylapia polli,-20.050000,48.133333,"TAMATAVE PROVINCE, RIVER NOSIVOLO BELOW ZULE'S VILLAGE, DEEP POOLS",collection_record,present,,river,exact,1990,"M.L.J.STIASSNY,P.N.REINTHAL,G.J.P.NAYLOR",GBIF: FishBase AMNH 97098,false,,
Oxylapia polli,-19.999444,48.201944,Near Ambanza village,collection_record,present,,,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82781,false,,
Oxylapia polli,-19.750000,48.466667,Mahadio,collection_record,present,,,exact,1962,,GBIF: RBINS-Scientific Heritage 22843,false,,
Pachypanchax arnoulti,-19.041636,46.684937,"GBIF record at -19.042, 46.685",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI FGZC 846",false,,
Pachypanchax arnoulti,-18.709000,44.719000,Tsingy de Bemaraha National Park,collection_record,present,,,exact,,Ratsoavina,Vences et al. 2022 (FGZC846-850),false,Southwesternmost record,
Pachypanchax arnoulti,-17.213180,46.885670,"GBIF record at -17.213, 46.886",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0269",false,,
Pachypanchax arnoulti,-17.210000,46.890000,Tetezamby,collection_record,present,,,exact,,,GBIF:  RDR0267,false,,
Pachypanchax arnoulti,-17.188610,46.860275,"Pandanus-Dracaena swamp draining into a tributary stream of the Ikopa River, flowing parallel to RN- 4 at Antanimbary Village, 246 m a.s.l. (Betsiboka River drainage)",collection_record,present,,stream,exact,1997,"P. V. Loiselle, R. Haeffner and J. Davidson",GBIF: AMNH AMNH 229576,false,,
Pachypanchax arnoulti,-17.183300,46.850000,Swamp at Antanimbary village (type),type_locality,present,,wetland,exact,,Loiselle,Loiselle 2006,false,"246m, Ikopa trib.",
Pachypanchax arnoulti,-17.070000,46.803070,"GBIF record at -17.070, 46.803",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0175",false,,
Pachypanchax arnoulti,-17.070000,46.800000,"Apositra, Ranon Ambodimanga",collection_record,present,,,exact,,,GBIF:  RDR0175,false,,
Pachypanchax arnoulti,-16.863611,46.972220,"Boinakely River, immediately below bridge on RN- 4, 153 m a.s.l. (Betsiboka River drainage)",collection_record,present,,river,exact,1997,"P. V. Loiselle, R. Haeffner and J. Davidson",GBIF: AMNH AMNH 229575,false,,
Pachypanchax arnoulti,-16.860000,46.960000,Antsapanana,collection_record,present,,,exact,,,GBIF:  RDR1125,false,,
Pachypanchax arnoulti,-16.858028,46.963696,"GBIF record at -16.858, 46.964",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR1125",false,,
Pachypanchax arnoulti,-16.850000,46.950000,"Boinakely River, below bridge on RN-4",collection_record,present,Boinakely River,river,exact,,,Loiselle 2006,false,153m,
Pachypanchax arnoulti,-16.400000,45.283333,Namahota River at Namoroka Village (Andranomavo River drainage),collection_record,present,,river,exact,,G. Petit,GBIF: MNHN MNHN 1928 0297,false,,
Pachypanchax arnoulti,-16.316700,46.816700,Ampijoroa Forest Reserve,collection_record,present,,,exact,,,Loiselle 2006,false,,
Pachypanchax arnoulti,-16.150000,45.966700,Lake Kinkony and satellite lakes,collection_record,present,Lake Kinkony,lake,exact,,,Loiselle 2006,false,Mahavavy du Sud,
Pachypanchax omalonotus,-14.060000,48.130000,Anovolava,collection_record,present,,,exact,,,GBIF:  RDR0672,false,,
Pachypanchax omalonotus,-14.056000,48.128000,Anovolava,collection_record,present,,stream,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0672),false,,
Pachypanchax omalonotus,-13.990000,48.180000,Ankaramy,collection_record,present,,,exact,,,GBIF:  RDR0693,false,,
Pachypanchax omalonotus,-13.985000,48.178000,Ankaramy,collection_record,present,,stream,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0693),false,,
Pachypanchax omalonotus,-13.843000,48.279000,Antranofotaka,collection_record,present,,stream,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0701),false,,
Pachypanchax omalonotus,-13.840000,48.280000,Antranofotaka,collection_record,present,,,exact,,,GBIF:  RDR0701,false,,
Pachypanchax omalonotus,-13.790555,48.489166,"Mahazava Creek, at village of the same name (Sambirano River drainage)",collection_record,present,,stream,exact,2001,P. V. Loiselle,GBIF: AMNH AMNH 231244,false,,
Pachypanchax omalonotus,-13.766700,48.483300,Mahazava Creek at Mahazava village (Sambirano),collection_record,present,Mahazava Creek,stream,exact,,,Loiselle 2006,false,,
Pachypanchax omalonotus,-13.758333,48.497223,"Beandrona Creek, at Ambodidimaka Village (Sambirano River drainage)",collection_record,present,,stream,exact,2001,P. V. Loiselle,GBIF: AMNH AMNH 232442,false,,
Pachypanchax omalonotus,-13.750000,48.483300,Beandrona Creek at Ambodidimaka Village,collection_record,present,Beandrona Creek,stream,exact,,,Loiselle 2006,false,,
Pachypanchax omalonotus,-13.594000,48.520000,Andranosavony,collection_record,present,,stream,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0722-0725),false,,
Pachypanchax omalonotus,-13.590000,48.520000,Andranosavony,collection_record,present,,,exact,,,GBIF:  RDR0722,false,,
Pachypanchax omalonotus,-13.570000,48.540000,Mahamaniny,collection_record,present,,,exact,,,GBIF:  RDR0732,false,,
Pachypanchax omalonotus,-13.569000,48.539000,Mahamaniny,collection_record,present,,stream,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0729-0733),false,,
Pachypanchax omalonotus,-13.390000,48.240000,Djabala,collection_record,present,,,exact,,,GBIF:  RDR0810,false,,
Pachypanchax omalonotus,-13.388056,48.238611,Small stream behind Djabala Village (freshwater) (called River Ranomaloto),collection_record,present,,stream,exact,1996,"JS Sparks, KJ Riseng",GBIF: UMMZ 238348,false,,
Pachypanchax omalonotus,-13.386389,48.239445,"Djabala Creek, Nosy Be",collection_record,present,,stream,exact,1994,P. V. Loiselle,GBIF: AMNH AMNH 232413,false,,
Pachypanchax omalonotus,-13.385000,48.241389,"Lake Ampombilava, Nosy Be",collection_record,present,,lake,exact,,"JS Sparks, KJ Riseng",GBIF: UMMZ 239820,false,,
Pachypanchax omalonotus,-13.385000,48.237000,Djabala (mainland),collection_record,present,,stream,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0809-0810),false,,
Pachypanchax omalonotus,-13.383300,48.233300,"Djabala Creek, Nosy Be",collection_record,present,Djabala Creek,stream,exact,,,Loiselle 2006,false,,
Pachypanchax omalonotus,-13.367778,48.311390,"unnamed stream on Andoany (Hell-Ville) - Ambatozavavy road, Nosy Be",collection_record,present,,stream,exact,1994,P. V. Loiselle,GBIF: AMNH AMNH 232417,false,,
Pachypanchax omalonotus,-13.366700,48.300000,"Unnamed stream, Andoany-Ambatozavavy road, Nosy Be",collection_record,present,,stream,exact,,,Loiselle 2006,false,,
Pachypanchax omalonotus,-12.700000,48.266666,"Nosy Be [Nossi-Be], off northern Madagascar",collection_record,present,,,exact,,,GBIF: MNHN MNHN 2935,false,,
Pachypanchax omalonotus,-12.317000,49.283000,diego-suarez,collection_record,present,,,exact,,chretien,GBIF: MNHN 1921-0050,false,,
Pachypanchax patriciae,-13.482000,48.729000,Tapelatrano,collection_record,present,,,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0742),false,,
Pachypanchax patriciae,-13.480000,48.730000,Tapelatrano,collection_record,present,,,exact,,,GBIF:  RDR0742,false,,
Pachypanchax patriciae,-13.474000,48.738000,Ankazomahitsy,collection_record,present,,,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0813-0818),false,,
Pachypanchax patriciae,-13.470000,48.740000,Ankazomahitsy,collection_record,present,,,exact,,,GBIF:  RDR0814,false,,
Pachypanchax patriciae,-13.435555,48.797500,Manehoko River at village of the same name,collection_record,present,,river,exact,2001,P. V. Loiselle and J. Miandrizava,GBIF: AMNH AMNH 232449,false,,
Pachypanchax patriciae,-13.433300,48.783300,Manehoko River at village,collection_record,present,Manehoko River,river,exact,,,Loiselle 2006,false,,
Pachypanchax patriciae,-13.424999,48.838886,"Ampandra River ca. 2 km upstream of village of the same name, altitude of 44 m a.s.l.",collection_record,present,,stream,exact,2001,P. V. Loiselle and J. Miandrizava,GBIF: AMNH AMNH 235860,false,,
Pachypanchax patriciae,-13.415000,48.838900,"Ampandra River, 2km upstream of Ampandra (type)",type_locality,present,Ampandra River,stream,exact,,P.V. Loiselle,Loiselle 2006,false,44m,
Pachypanchax patriciae,-13.370278,48.877220,"oxbow lake of Ifasy River at Ambodipont, altitude 6 m a.s.l.",collection_record,present,,lake,exact,2001,P. V. Loiselle and J. Miandrizava,GBIF: AMNH AMNH 232426,false,,
Pachypanchax patriciae,-13.366700,48.866700,Oxbow lake of Ifasy River at Ambodipont,collection_record,present,Ifasy River,lake,exact,,,Loiselle 2006,false,6m,
Pachypanchax patriciae,-13.280000,48.920000,Manombo,collection_record,present,,,exact,,,GBIF:  RDR0825,false,,
Pachypanchax patriciae,-13.276000,48.924000,Manombo,collection_record,present,,,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0822-0827),false,,
Pachypanchax patriciae,-13.228038,49.176260,"GBIF record at -13.228, 49.176",collection_record,present,,,exact,2022,Aurélien Bour,GBIF: iNaturalist 111529735,false,,
Pachypanchax patriciae,-13.218611,49.168890,Matsabory Farengniny at Ampasindava Village (Mananjeba drainage),collection_record,present,,,exact,2001,P. V. Loiselle and J. Miandrizava,GBIF: AMNH AMNH 232451,false,,
Pachypanchax patriciae,-13.216700,49.166700,Matsabory Farengniny at Ampasindava Village,collection_record,present,,lake,exact,,,Loiselle 2006,false,Mananjeba,
Pachypanchax patriciae,-13.212777,49.077220,"unnamed creek below bridge on RN- 5 A, flowing into main channel of Mahavavy du Nord River, altitude 57 m a.s.l.",collection_record,present,,stream,exact,2001,P. V. Loiselle and J. Miandrizava,GBIF: AMNH AMNH 232452,false,,
Pachypanchax patriciae,-13.210000,49.160000,Mananjeba East RN5a,collection_record,present,,,exact,,,GBIF:  RDR0912,false,,
Pachypanchax patriciae,-13.208000,49.160000,Mananjeba East RN5a,collection_record,present,Mananjeba River,river,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0910-0914),false,,
Pachypanchax patriciae,-13.200000,49.066700,"Unnamed creek below bridge on RN-5A, Mahavavy du Nord",collection_record,present,,stream,exact,,,Loiselle 2006,false,57m,
Pachypanchax patriciae,-13.125000,49.316000,Andemibe,collection_record,present,,,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0918-0921),false,,
Pachypanchax patriciae,-13.120000,49.360000,Antsahameloka 2,collection_record,present,,,exact,,,GBIF:  RDR0930,false,,
Pachypanchax patriciae,-13.120000,49.350000,Antsahameloka 1,collection_record,present,,,exact,,,GBIF:  RDR0925,false,,
Pachypanchax patriciae,-13.120000,49.320000,Andemibe,collection_record,present,,,exact,,,GBIF:  RDR0921,false,,
Pachypanchax patriciae,-13.120000,49.355000,Antsahameloka 1,collection_record,present,,,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0922-0927),false,,
Pachypanchax patriciae,-13.120000,49.364000,Antsahameloka 2,collection_record,present,,,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0930-0932),false,,
Pachypanchax patriciae,-13.060514,49.022818,"GBIF record at -13.061, 49.023",collection_record,present,,,exact,2025,James Lefebvre,GBIF: iNaturalist 325896524,false,,
Pachypanchax patriciae,-13.010000,49.140000,Anjaridaina,collection_record,present,,,exact,,,GBIF:  RDR0843,false,,
Pachypanchax patriciae,-13.008000,49.137000,Anjaridaina,collection_record,present,,,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0836-0847),false,,
Pachypanchax sakaramyi,-12.560628,49.042343,"GBIF record at -12.561, 49.042",collection_record,present,,,exact,2014,Martin Mandák,GBIF: iNaturalist 5050969,false,,
Pachypanchax sakaramyi,-12.501389,48.215280,Sakaramy River at Joffreville,collection_record,present,,river,exact,1994,P. V. Loiselle and O. Lucanus,GBIF: AMNH AMNH 215524,false,,
Pachypanchax sakaramyi,-12.483300,48.200000,Sakaramy River at Ambohitra [Joffreville],collection_record,present,Sakaramy River,stream,exact,,,Loiselle 2006 (AMNH 215524),false,,
Pachypanchax sakaramyi,-12.467000,49.227000,Montagne d Ambre,collection_record,present,,,exact,,Ratsoavina,Vences et al. 2022 (FGZC1245-1249),false,,
Pachypanchax sakaramyi,-12.450000,49.266666,"Sakaramy River, at village of Sakaramy, ca. 30 km south of Antsiranana (Diego Suarez), 500 m. a. s. l.",collection_record,present,,river,exact,,,"GBIF: MSNM, NMW MSNM 56 [ex MSNM 4426 and NMW], NMW 13463 - 13489",false,,
Pachypanchax sp. 'antsahalalina',-12.681000,49.266000,"Antsahalalina, northern Madagascar",collection_record,present,,stream,exact,,Ratsoavina,Vences et al. 2022 (RDR0853),false,Genetically distinct from P. sakaramyi,
Pachypanchax sp. 'sofia',-15.833600,48.714200,"Amboaboa River basin, Sofia region",collection_record,present,Amboaboa River,stream,exact,2021,,Carvalho et al. 2024,false,44 specimens in 2024 survey,
Pachypanchax sparksorum,-15.900000,46.590000,Sahalava,collection_record,present,,,exact,,,GBIF:  RDR0420,false,,
Pachypanchax sparksorum,-15.898920,46.585920,"GBIF record at -15.899, 46.586",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0421",false,,
Pachypanchax sparksorum,-15.130000,47.800000,Andranomatsitso,collection_record,present,,,exact,,,GBIF:  RDR0548,false,,
Pachypanchax sparksorum,-15.130000,47.804000,Andranomatsitso,collection_record,present,,,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0546-0549),false,,
Pachypanchax sparksorum,-15.113000,47.828000,Andranokaramy,collection_record,present,,,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0555-0562),false,,
Pachypanchax sparksorum,-15.110000,47.830000,Andranokaramy,collection_record,present,,,exact,,,GBIF:  RDR0559,false,,
Pachypanchax sparksorum,-15.053000,48.207000,"Stream near Anjalazala, road Antsohihy-Mandritsara",collection_record,present,,stream,exact,,,Vences et al. 2022 (ZCMV11501-11502),false,,
Pachypanchax sparksorum,-15.050000,48.210000,Stream crossing the road at 37 from,collection_record,present,,stream,exact,,,GBIF:  ZCMV11502,false,,
Pachypanchax sparksorum,-14.872222,48.247780,Bentainkilotra Creek (Ankofia River drainage),collection_record,present,,stream,exact,2004,P. V. Loiselle and J. Rasoloariniainina,GBIF: AMNH AMNH 235771,false,,
Pachypanchax sparksorum,-14.170000,48.090000,Ambahitsivikinina,collection_record,present,,,exact,,,GBIF:  RDR0667,false,,
Pachypanchax sparksorum,-14.166000,48.093000,Ambahitsivikinina,collection_record,present,,,exact,2011,Ratsoavina,Vences et al. 2022 (RDR0667),false,,
Pachypanchax varatraza,-13.893611,49.939445,"Mahazava Creek at village of same name, 30 m a.s.l. (Ampanobe drainage)",collection_record,present,,stream,exact,2000,P. V. Loiselle and J. Miandrizava,GBIF: AMNH AMNH 231244,false,,
Pachypanchax varatraza,-13.890000,49.930000,Anandray,collection_record,present,,,exact,,,GBIF:  RDR1117,false,,
Pachypanchax varatraza,-13.886000,49.930000,Anandray,collection_record,present,,,exact,2011,Ratsoavina,Vences et al. 2022 (RDR1114-1120),false,,
Pachypanchax varatraza,-13.882800,49.939400,Mahazava Stream at Mahazava village,collection_record,present,Mahazava Stream,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,"30m asl, Ampanobe basin",
Pachypanchax varatraza,-13.651388,49.650000,"Antafiabe Creek, at Antsahandrero Village (Fanambana drainage)",collection_record,present,,stream,exact,2002,C. J. Raxworthy,GBIF: AMNH AMNH 211333,false,,
Pachypanchax varatraza,-13.650000,49.650000,Antafiabe Creek at Antsahandrero Village,collection_record,present,Antafiabe Creek,stream,exact,,,Loiselle 2006,false,Fanambana,
Pachypanchax varatraza,-13.622000,49.999000,"Fanambana forest, 2nd trail, pond",collection_record,present,,,exact,,Ratsoavina,Vences et al. 2022 (FGZC4845-4847),false,,
Pachypanchax varatraza,-13.620000,50.000000,"Fanambana forest, 2nd trail, pond",collection_record,present,,,exact,,,GBIF:  FGZC4846,false,,
Pachypanchax varatraza,-13.520833,49.836945,"Andampy Creek, at Ampizametana Village, 70 m a.s.l. (Menambery drainage)",collection_record,present,,stream,exact,2000,P. V. Loiselle and J. Miandrizava,GBIF: AMNH AMNH 235519,false,,
Pachypanchax varatraza,-13.516700,49.816700,Andampy Creek at Ampizametana Village,collection_record,present,Andampy Creek,stream,exact,,,Loiselle 2006,false,"70m, Menambery",
Paratilapia polleni,-25.183000,47.000000,fort-dauphin,collection_record,present,,,exact,,"inconnu;paris mnhn-pom, m.",GBIF: MNHN 1999-0118,false,,
Paratilapia polleni,-23.417000,43.833000,maroamalona,collection_record,present,,,exact,1926,"petit;paris mnhn-pom, m.",GBIF: MNHN 1999-0096,false,,
Paratilapia polleni,-23.350000,47.466667,"SAHAMBAVY RIVER, AT AMPATAKA VILLAGE ON ROAD BETWEEN VAGAINDRANO AND RANOMERA ROADS",collection_record,present,,river,exact,1998,P.V. LOISELLE,GBIF: FishBase AMNH 228071,false,,
Paratilapia polleni,-23.333000,43.517000,tulear,collection_record,present,,,exact,1926,"petit;paris mnhn-pom, m.",GBIF: MNHN 1999-0127,false,,
Paratilapia polleni,-23.032425,47.735141,"Manombo Reserve, southeastern Madagascar",collection_record,present,,,exact,,PN Reinthal,GBIF: UMMZ 239557,false,,
Paratilapia polleni,-23.030000,47.730000,Manombo Camp,collection_record,present,,,exact,,,GBIF:  ZCMV419,false,,
Paratilapia polleni,-23.028320,47.731530,"GBIF record at -23.028, 47.732",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI ZCMV419",false,,
Paratilapia polleni,-23.016667,47.716667,"FORET CLASSEE DE MANOMBO, TAKOANDRA RIVER",collection_record,present,,river,exact,1999,"A.R. SAUNDERS, P.V. LOISELLE",GBIF: FishBase AMNH 231351,false,,
Paratilapia polleni,-22.830278,47.128056,"Sahapindra River, 10 km upstream from Vevembe camp; alt. ca. 1400 ft. Mananara drainage (SE Madagascar)",collection_record,present,,stream,exact,1997,PN Reinthal,GBIF: UMMZ 239558,false,,
Paratilapia polleni,-22.800000,47.166667,MAROSIVY RIVER AT VEVEMBE VILLAGE,collection_record,present,,river,exact,1999,"A.R. SAUNDERS, P.V. LOISELLE",GBIF: FishBase AMNH 231336,false,,
Paratilapia polleni,-22.783611,47.175278,"Sahapindra River, near Vevembe (village); Vondrozo region",collection_record,present,,river,exact,,"P Rabeson, R Randriamampionina",GBIF: UMMZ 235045,false,,
Paratilapia polleni,-22.783333,47.175833,Vahifito Riviere (West of Vevembe Camp Area),collection_record,present,,river,exact,1996,"JS Sparks, KJ Riseng",GBIF: UMMZ 244626,false,,
Paratilapia polleni,-22.766667,47.033333,AMPISIKA RIVER AT AMPARAHATRA VILLAGE,collection_record,present,,river,exact,1999,"A.R. SAUNDERS, P.V. LOISELLE",GBIF: FishBase AMNH 231344,false,,
Paratilapia polleni,-22.407500,47.371111,Karianga Camp Stream (small stream near camp),collection_record,present,,stream,exact,1996,"JS Sparks, KJ Riseng",GBIF: UMMZ 240257,false,,
